Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Postal Code,City,State,Country,Market,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
46253,MA-2014-FC424577-41878,2014-08-27,2014-09-02,Standard Class,FC-424577,Frank Carlisle,Home Office,,Antananarivo,Analamanga,Madagascar,Africa,TEC-AC-3390,Technology,Accessories,"Belkin Memory Card, Programmable",232.62,2,0.0,69.78,15.95,Medium
26696,ID-2014-KH1633059-41730,2014-04-01,2014-04-05,Standard Class,KH-1633059,Katharine Harms,Corporate,,Jakarta,Jakarta,Indonesia,Asia Pacific,TEC-AC-4152,Technology,Accessories,"Enermax Flash Drive, Erganomic",20.84,1,0.47,-1.99,1.14,Medium
46479,NI-2014-MM805595-41730,2014-04-01,2014-04-06,Standard Class,MM-805595,Michelle Moray,Consumer,,Jos,Plateau,Nigeria,Africa,TEC-AC-3394,Technology,Accessories,"Belkin Mouse, Programmable",12.66,1,0.7,-21.96,1.12,High
21342,IN-2014-DR129407-41728,2014-03-30,2014-04-01,First Class,DR-129407,Daniel Raglin,Home Office,,Sydney,New South Wales,Australia,Asia Pacific,TEC-PH-3818,Technology,Phones,"Cisco Speaker Phone, with Caller ID",373.9,3,0.1,128.74,27.09,Medium
19773,ES-2014-PP1895545-41689,2014-02-19,2014-02-25,Standard Class,PP-1895545,Paul Prost,Home Office,,Wattrelos,Nord-Pas-de-Calais-Picardie,France,Europe,TEC-CO-3591,Technology,Copiers,"Brother Fax and Copier, Color",327.98,2,0.15,34.7,54.65,Low
31774,CA-2014-KH16690140-41833,2014-07-13,2014-07-20,Standard Class,KH-166901404,Kristen Hastings,Corporate,90008.0,Los Angeles,California,United States,USCA,TEC-PH-3814,Technology,Phones,Cisco SPA525G2 IP Phone - Wireless,95.76,6,0.2,7.18,8.21,Medium
48430,HR-2014-KM622530-41670,2014-01-31,2014-02-04,Second Class,KM-622530,Kalyca Meade,Corporate,,Zagreb,Grad Zagreb,Croatia,Europe,TEC-MA-5013,Technology,Machines,"Konica Phone, Wireless",861.9,10,0.0,172.2,78.83,Medium
30960,IN-2014-AG1027092-41649,2014-01-10,2014-01-11,First Class,AG-1027092,Alejandro Grove,Consumer,,Whangarei,Northland,New Zealand,Asia Pacific,TEC-MA-4192,Technology,Machines,"Epson Calculator, Wireless",92.82,2,0.0,45.48,14.58,High
45128,CA-2014-GT475523-41649,2014-01-10,2014-01-12,First Class,GT-475523,Guy Thornton,Consumer,,Montréal,Quebec,Canada,USCA,TEC-AC-5136,Technology,Accessories,"Logitech Router, Programmable",248.82,1,0.0,89.55,31.11,Medium
30916,IN-2014-KA1652592-41641,2014-01-02,2014-01-06,Standard Class,KA-1652592,Kelly Andreada,Consumer,,Christchurch,Canterbury,New Zealand,Asia Pacific,TEC-PH-5827,Technology,Phones,"Samsung Headset, with Caller ID",292.8,4,0.0,20.4,18.93,Medium
